,sharpe_gs
0,0.9287032793081771
1,0.9197980521433187
2,0.8873063971654866
3,0.8773287807897251
4,0.9287032793081771
5,0.9197980521433187
6,0.8873063971654866
7,0.8773287807897251
8,0.9319553117239319
9,0.9238330779597697
10,0.8897390182643775
11,0.8797933478400575
12,0.9240363745371238
13,0.9171798843697199
14,0.8812410881979009
15,0.8698871374259942
16,0.7991318601158309
17,0.8209819846154425
18,0.7829805198587645
19,0.7527888614373928
20,0.8172530381446614
21,0.833546170517106
22,0.8084358409444014
23,0.7777728077648803
24,0.8487499598129533
25,0.8748252969587567
26,0.8521952700349655
27,0.8185385338167545
28,0.8152571094942506
29,0.8260008406406368
30,0.7966170448239599
31,0.7771993829619286
32,0.7841273274047075
33,0.7880120011920075
34,0.7618011516045902
35,0.7578527412436988
36,0.7841273274047075
37,0.7880120011920075
38,0.7618011516045902
39,0.7578527412436988
40,0.784071171569533
41,0.7879568704080837
42,0.7612414060016923
43,0.7570821003105512
44,0.784000357724687
45,0.7878855123889457
46,0.7610486305589518
47,0.7568370340492555
48,1.0403338691298258
49,1.0272375780254834
50,0.9526984629889348
51,0.9058390028921566
52,1.0259809168289376
53,1.0176932078852494
54,0.938171499285465
55,0.8888508274591437
56,1.028447322416426
57,1.0219240975378496
58,0.9317789194499766
59,0.8887717291180477
60,1.047388772954616
61,1.0333757718158083
62,0.9510370176795273
63,0.9059721613579995
64,0.9081526079685918
65,0.9260389930287172
66,0.8575417833737848
67,0.7977290168723563
68,0.913366004338483
69,0.9270912053281491
70,0.8672958139547561
71,0.8055619505346607
72,0.9397138606734885
73,0.9604190999927544
74,0.9008922810670197
75,0.8346762988676264
76,0.9314514864218102
77,0.9329059097198101
78,0.8663883511680402
79,0.8174104217155254
80,0.903414451961358
81,0.8991474580948153
82,0.8357336014031043
83,0.7969107902798842
84,0.8895956516474341
85,0.8890790260555342
86,0.821244246008979
87,0.7828866687612495
88,0.8867745753371735
89,0.8878828930598265
90,0.8124999152820755
91,0.7778971437276638
92,0.9125836572742706
93,0.9068751320668997
94,0.8338883438015288
95,0.7991270513907245
96,0.8755467247415663
97,0.8668392206047908
98,0.8186521923151446
99,0.8109230803315705
100,0.8755467247415663
101,0.8668392206047908
102,0.8186521923151446
103,0.8109230803315705
104,0.8802690821359778
105,0.8711745087093266
106,0.8228664142365241
107,0.814587688117127
108,0.874199755878859
109,0.8654889977445162
110,0.8158669558656917
111,0.8084208930798195
112,0.766859390392526
113,0.7847300427721258
114,0.7339220708929988
115,0.7103515907297845
116,0.7838868297901466
117,0.7975471828120518
118,0.7571574074193069
119,0.7328511848806137
120,0.8118069069549514
121,0.8320421280388961
122,0.7966445601612746
123,0.7700822401590788
124,0.7816772580525705
125,0.7886397983120198
126,0.7423994016867377
127,0.727640327190439
128,0.750076413268076
129,0.7504980714481213
130,0.7124299734686583
131,0.7119542277065012
132,0.750076413268076
133,0.7504980714481213
134,0.7124299734686583
135,0.7119542277065012
136,0.750076413268076
137,0.7504980714481213
138,0.7124299734686583
139,0.7119542277065012
140,0.750076413268076
141,0.7504980714481213
142,0.7124299734686583
143,0.7119542277065012
