,sharpe_gs
0,0.8873063971654866
1,0.8408136439358234
2,0.6684965701769591
3,0.6349479324116181
4,0.8897390182643775
5,0.8442015629473285
6,0.6729058491249242
7,0.6391427464428012
8,0.8812410881979009
9,0.8333113777468985
10,0.6656718230166707
11,0.6345485849650402
12,0.8865605319898195
13,0.8398070125447259
14,0.6673946538782651
15,0.6341375910485103
16,0.7618011516045902
17,0.70602451258761
18,0.5265524722355321
19,0.5138774371171781
20,0.7612414060016923
21,0.7063741224148274
22,0.5261369974479316
23,0.5134878053501536
24,0.7610486305589518
25,0.7064448730605468
26,0.5260278186120262
27,0.5133827286877407
28,0.7610929444428421
29,0.7056218072733405
30,0.5259709638381801
31,0.5132726587487693
32,0.4912757253145078
33,0.46189557321727553
34,0.3778984999799563
35,0.29200678246510847
36,0.49105212612483373
37,0.4613244183755899
38,0.3784238294982292
39,0.2915565152544196
40,0.49092306099137784
41,0.4611885822560062
42,0.3785773962376747
43,0.2914838873400761
44,0.4908361908466097
45,0.46189557321727553
46,0.3778984999799563
47,0.29200678246510847
48,0.8186521923151446
49,0.7671868888732332
50,0.6047220231739816
51,0.5980374836223961
52,0.8228664142365241
53,0.7696498244332819
54,0.6084676335690488
55,0.6020702562012057
56,0.8158669558656917
57,0.761480428022274
58,0.601515974844628
59,0.5982191714042919
60,0.8183061641276022
61,0.7663692768097369
62,0.6037507028595088
63,0.5969083278104141
64,0.7124299734686583
65,0.6608154654196285
66,0.4811905960843953
67,0.4894838683456401
68,0.7124299734686583
69,0.6608154654196285
70,0.4811905960843953
71,0.4894838683456401
72,0.7124299734686583
73,0.6608154654196285
74,0.4811905960843953
75,0.4894838683456401
76,0.7124299734686583
77,0.6603505508027411
78,0.4806466355701211
79,0.48900924822029024
80,0.4664934176230199
81,0.43850642341272267
82,0.3643523517577194
83,0.2875807456841011
84,0.4664934176230199
85,0.43850642341272267
86,0.3643523517577194
87,0.2875807456841011
88,0.4664934176230199
89,0.43850642341272267
90,0.3643523517577194
91,0.2875807456841011
92,0.4664934176230199
93,0.43850642341272267
94,0.3643523517577194
95,0.2875807456841011
96,0.7209244614411368
97,0.7130242452549314
98,0.6234118075784498
99,0.5905977206432569
100,0.7236927533291798
101,0.7151336114918678
102,0.6260656293676623
103,0.5941281615704029
104,0.7189578485176403
105,0.7104545361722019
106,0.620769759977924
107,0.5912478735868149
108,0.7208178952665015
109,0.7126298058816126
110,0.6227361906017747
111,0.5897430956388826
112,0.6565581470744147
113,0.6405649621220667
114,0.5261615932175803
115,0.5099592984554869
116,0.6565581470744147
117,0.6405649621220667
118,0.5261615932175803
119,0.5099592984554869
120,0.6565581470744147
121,0.6405649621220667
122,0.5261615932175803
123,0.5099592984554869
124,0.6565581470744147
125,0.6403424771452867
126,0.5256501312319312
127,0.5094925121229925
128,0.461572429179843
129,0.4628142177448542
130,0.4188248217370586
131,0.3391552847941966
132,0.461572429179843
133,0.4628142177448542
134,0.4188248217370586
135,0.3391552847941966
136,0.461572429179843
137,0.4628142177448542
138,0.4188248217370586
139,0.3391552847941966
140,0.461572429179843
141,0.4628142177448542
142,0.4188248217370586
143,0.3391552847941966
